,enemy_start,engagement_performance,final_outcome,friendly_start,strength_ratio,survival_rate,tech_advantage,time
0,1661.0,0.6216216216216216,0,1922.0,1.181021897810219,0.841831425598335,-1.216,19
1,1918.0,0.5942857142857143,0,1444.0,0.2574468085106383,0.16759002770083103,-1.025,92
2,1915.0,1.4545454545454546,1,1347.0,0.9836769759450171,0.85003711952487,2.332,8
3,1551.0,1.5,1,1557.0,2.463955637707948,0.8561335902376365,2.4035,14
4,1147.0,0.5845070422535211,1,1973.0,1.7058823529411764,0.01469842878864673,-1.251,449
5,1927.0,1.28,1,1705.0,1.7949400798934754,0.7906158357771261,1.5555,18
6,1315.0,0.8582089552238806,1,1620.0,37.45454545454545,0.254320987654321,-0.13825,165
7,1177.0,0.5394736842105263,0,1517.0,1.3084632516703787,0.7745550428477258,-1.54225,38
8,1731.0,0.5652173913043478,0,1640.0,0.7640369580668088,0.6554878048780488,-1.0815,35
9,1797.0,0.963882618510158,1,1880.0,57.0,0.06063829787234042,0.04825,289
10,1279.0,0.5567567567567567,0,1411.0,0.6571741511500547,0.42523033309709424,-1.62125,95
11,1264.0,1.2941176470588236,1,1057.0,1.756563245823389,0.6963103122043519,1.198,12
12,1130.0,0.5441176470588235,0,1684.0,1.1838134430727023,0.5124703087885986,-1.40125,69
13,1547.0,0.5148514851485149,0,1121.0,0.6213793103448276,0.8037466547725245,-2.07975,50
14,1553.0,0.5772058823529411,0,1666.0,0.2906474820143885,0.1212484993997599,-1.3885,142
15,1154.0,1.3333333333333333,1,1237.0,1.641185647425897,0.8504446240905417,1.1895,6
16,1090.0,0.5107913669064749,0,1916.0,1.5955307262569833,0.7453027139874739,-2.10275,139
17,1586.0,1.3076923076923077,1,1115.0,1.5252100840336134,0.6511210762331838,1.318,19
18,1783.0,0.7475728155339806,0,1958.0,0.5107296137339056,0.06077630234933606,-0.5905,119
19,1067.0,0.5,1,1506.0,1.5,0.9661354581673307,1.20625,0
