date,Gold Price,USD GBP,US 10 Year Bond Price,VIX,S&P500,returns
2000-01-03,289.75,0.6308,93.61399999999999,21.64,1455.219971,-0.03909917550586638
2000-01-04,289.75,0.6308,93.61399999999999,21.64,1399.420044,0.0019203376717690415
2000-01-05,273.35,0.6435,93.72200000000001,25.88,1402.109985,0.0009552218683290303
2000-01-06,272.8,0.6692,93.809,22.36,1403.449951,0.02672995005828958
2000-01-07,272.8,0.6692,93.809,22.36,1441.469971,0.011127824951257899
2000-01-10,276.75,0.6829,94.321,17.53,1457.599976,-0.013148576790573768
2000-01-11,264.8,0.6889,94.258,24.28,1438.560059,-0.004396019961010188
2000-01-12,269.4,0.6925,94.49700000000001,27.48,1432.25,0.012096245364814217
2000-01-13,284.25,0.6071,93.37,21.71,1449.680054,0.010614763015335722
2000-01-14,284.2,0.613,93.321,19.66,1465.150024,-0.006855516452527174
2000-01-18,288.65,0.6105,93.25200000000001,21.5,1455.140015,0.0005221563476186428
2000-01-19,289.63,0.6079,93.26799999999999,21.72,1455.900024,-0.007120612485422565
2000-01-20,288.5,0.6047,93.212,21.75,1445.569946,-0.002916568177899514
2000-01-21,289.1,0.6065,93.235,20.82,1441.359985,-0.028022584196370916
2000-01-24,287.6,0.6049,93.315,24.07,1401.530029,0.0060464836043173315
2000-01-25,287.05,0.6078,93.30799999999999,23.02,1410.030029,-0.004221619428147993
2000-01-26,286.0,0.6096,93.336,23.03,1404.089966,-0.003946203861979626
2000-01-27,286.85,0.6099,93.30799999999999,23.54,1398.560059,-0.027840813152317945
2000-01-28,283.25,0.6172,93.34200000000001,26.14,1360.160034,0.024904850706052306
2000-01-31,283.5,0.6187,93.335,24.95,1394.459961,0.010571740659929333
2000-02-01,283.5,0.6187,93.335,24.95,1409.280029,-0.00011356372325381405
2000-02-02,284.75,0.6216,93.427,23.12,1409.119995,0.011185347989420748
2000-02-03,288.5,0.6343,93.616,21.06,1424.969971,-0.0004211333263327903
2000-02-04,288.5,0.6343,93.616,21.06,1424.369995,-9.127609660489278e-05
2000-02-07,281.15,0.6623,93.848,21.48,1424.23999,0.012198494043072149
2000-02-08,277.55,0.6686,94.024,20.0,1441.719971,-0.02103511722139588
2000-02-09,277.55,0.6686,94.024,20.0,1411.709961,0.0036202427699053154
